hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-0415,1253,21세기병원,병원,서울특별시,서초구,서초3동,성경훈외4명,"서울특별시 서초구 서초중앙로 39 (서초동,장수빌딩)",
BE_LiST21-0417,1261,연세필피부과의원,의원,서울특별시,강서구,발산1동,정한길,서울특별시 강서구 내발산동 719번지 6호 5층,
BE_LiST21-0418,1263,의료법인 미소들의료재단 미소들노인전문병원,기타,서울특별시,구로구,개봉1동,윤영복,서울특별시 구로구 고척로21나길 88 -41 (개봉동),"중국,"
BE_LiST21-0419,1265,서울필치과의원,치과의원,서울특별시,광진구,자양2동,정승필,"서울특별시 광진구 아차산로 378(자양동,한승빌딩4층)",
BE_LiST21-0420,1269,연세하이디치과의원,치과의원,서울특별시,송파구,잠실본동,황인규,"서울특별시 송파구 올림픽로 108 (잠실동,4층)",
BE_LiST21-0421,1270,연세?모던피부과의원,의원,서울특별시,광진구,중곡2동,홍경태,서울특별시 광진구 중곡2동 116-6,
BE_LiST21-0422,1279,다나의원,의원,서울특별시,용산구,한남동,소영,서울특별시 용산구 한남동 261-6,
BE_LiST21-0424,1282,미사랑성형외과의원,의원,서울특별시,강남구,논현1동,심형곤,서울특별시 강남구 논현1동 143-5,"중국,베트남,"
BE_LiST21-0425,1283,피브로한의원,한의원,서울특별시,강남구,삼성2동,박성익,서울특별시 강남구 삼성2동 141-35 6층,
BE_LiST21-0426,1285,연세피부과의원,의원,서울특별시,동작구,신대방1동,황선영,서울특별시 동작구 신대방1동 588-7,
BE_LiST21-0428,1296,루이빈치과의원,치과의원,서울특별시,강남구,압구정동,류지헌,서울특별시 강남구 신사동 620 3층,
BE_LiST21-0429,1302,예쁜미인성형외과의원,의원,서울특별시,강남구,역삼1동,이장혁,서울특별시 강남구 역삼동 816 8층,
BE_LiST21-0430,1304,더라인성형외과의원,의원,서울특별시,강남구,신사동,조재호,서울특별시 강남구 도산대로 157(신사동),
BE_LiST21-0431,1305,(학) 일송학원 강남성심병원,종합병원,서울특별시,영등포구,대림1동,윤대원,서울특별시 영등포구 신길로 1 (대림동),
BE_LiST21-0432,1310,오페라성형외과의원,의원,서울특별시,강남구,역삼1동,김석한,"서울특별시 강남구 강남대로 406, 1501 (역삼동,글라스타워)",
BE_LiST21-0433,1311,안세병원,병원,서울특별시,강남구,청담동,김해열,"서울특별시 강남구 도산대로 417 (청담동, 청담병원)",
BE_LiST21-0434,1313,유디치과의원,치과의원,서울특별시,강남구,역삼2동,한세정,"서울특별시 강남구 테헤란로 332 (역삼동,현정빌딩5층)",
BE_LiST21-0435,1319,아이원성형외과의원,의원,서울특별시,강남구,신사동,박병주,서울특별시 강남구 신사동 585-15 4층,
BE_LiST21-0436,1321,한림대학교한강성심병원,종합병원,서울특별시,영등포구,영등포동,윤대원,서울특별시 영등포구 영등포동 94-195,
BE_LiST21-0437,1327,혜민병원,종합병원,서울특별시,광진구,자양1동,김상태,서울특별시 광진구 자양동 627-3,
BE_LiST21-0438,1335,미성형외과의원,의원,서울특별시,강남구,청담동,김헌준,서울특별시 강남구 청담2동 47 5층,
BE_LiST21-0439,1336,강남우태하피부과,의원,서울특별시,강남구,역삼1동,임성빈,"서울특별시 강남구 강남대로 370 (역삼동,강남클리닉빌딩5층)",
